lambda,sigma,opt,phase,prr,simple_error,maxmin_error
1.0,400.0,570622918.9188758,1541472348.7974787,1140943242.4574552,197284218989.1946,58232217597.45556
0.0,400.0,570622918.9188758,1141075937.7382307,1536451076.7273512,197187324636.1416,58208636674.81413
0.25,400.0,570622918.9188758,1374792720.0913415,1600985896.8367002,197187324636.1416,58208636674.81413
0.5,400.0,570622918.9188758,1403440022.260181,1444763572.9642143,197187324636.1416,58208636674.81413
0.75,400.0,570622918.9188758,1381870581.8124135,1275879548.9575071,197187324636.1416,58208636674.81413
1.0,400.0,570622918.9188758,1413153651.5014837,1140944931.4722471,197187324636.1416,58208636674.81413
0.0,400.0,570622918.9188758,1141075937.7382307,1547420223.530695,198095772937.4677,58479012681.73429
0.25,400.0,570622918.9188758,1378075060.754207,1610130873.9127367,198095772937.4677,58479012681.73429
0.5,400.0,570622918.9188758,1413567695.4092429,1438023419.9484377,198095772937.4677,58479012681.73429
0.75,400.0,570622918.9188758,1381399192.931669,1279272207.8872046,198095772937.4677,58479012681.73429
1.0,400.0,570622918.9188758,1385529330.0956728,1140941836.1174455,198095772937.4677,58479012681.73429
0.0,450.0,570622918.9188758,1141075937.7382307,1616204800.2338524,222433412802.41028,65676622427.15707
0.25,450.0,570622918.9188758,1405087004.706565,1681594685.0822704,222433412802.41028,65676622427.15707
0.5,450.0,570622918.9188758,1410609330.7338626,1492018307.056304,222433412802.41028,65676622427.15707
0.75,450.0,570622918.9188758,1407486853.2077873,1299131558.9828556,222433412802.41028,65676622427.15707
1.0,450.0,570622918.9188758,1412610062.6182308,1140943809.6140683,222433412802.41028,65676622427.15707
0.0,450.0,570622918.9188758,1141075937.7382307,1564508019.214462,223118854477.66296,65895244244.89682
0.25,450.0,570622918.9188758,1382533636.8761961,1623310707.590532,223118854477.66296,65895244244.89682
0.5,450.0,570622918.9188758,1412111764.1658545,1442268956.559749,223118854477.66296,65895244244.89682
0.75,450.0,570622918.9188758,1379254475.0162191,1275400202.7990158,223118854477.66296,65895244244.89682
1.0,450.0,570622918.9188758,1410342228.0035622,1140944219.3564386,223118854477.66296,65895244244.89682
0.0,450.0,570622918.9188758,1141075937.7382307,1581797543.6826458,222596030499.7642,65497931308.032555
0.25,450.0,570622918.9188758,1363401324.5390048,1635354971.6199846,222596030499.7642,65497931308.032555
0.5,450.0,570622918.9188758,1379283718.5129585,1460669272.849019,222596030499.7642,65497931308.032555
0.75,450.0,570622918.9188758,1379435690.4853292,1291297968.4984827,222596030499.7642,65497931308.032555
1.0,450.0,570622918.9188758,1400862433.0910726,1140943555.9071202,222596030499.7642,65497931308.032555
0.0,450.0,570622918.9188758,1141075937.7382307,1603501594.7634876,222599804376.7621,65795271266.720985
0.25,450.0,570622918.9188758,1414264800.0268154,1652206838.5366857,222599804376.7621,65795271266.720985
